"commune_code","nom","millesimes_1","pourcent_artif_1","surface_artif_1","millesimes_2","pourcent_artif_2","surface_artif_2","flux_surface_1_2","flux_percent_1_2","departement_code","region_code","epci_code","scot_code","commune_surface"
"17208","Longèves","2018",6.77622305527451,889466.9749,"2021",6.79333209963399,891712.7584,2245.7835,0.0171090443594792,"17","75","200041499","237",13126294.2150001
"17209","Lonzac","2018",5.93304159824205,371855.6833,"2021",5.93303899754016,371855.5203,-0.163,-2.60070189650463e-06,"17","75","200041523","10322",6267538.78499992
"17210","Lorignac","2018",6.74985441266626,1190885.007,"2021",6.77038672790673,1194507.5483,3622.5413,0.0205323152404677,"17","75","200041523","10322",17643121.3800001
"17211","Loulay","2018",12.4572092296603,915951.2897,"2021",12.4411696586399,914771.9352,-1179.3545,-0.0160395710204781,"17","75","200041689","31",7352780.80999989
"17212","Louzignac","2018",6.17953672720831,378621.9233,"2021",6.21167528958633,380591.0619,1969.1386,0.0321385623780204,"17","75","200041689","31",6127027.63999992
"17213","Lozay","2018",6.75944375951812,804105.5717,"2021",6.75944375951812,804105.5717,0,0,"17","75","200041689","31",11896031.69
"17214","Luchat","2018",12.0506764966558,571108.6973,"2021",12.1533748385704,575975.803,4867.1057,0.102698341914621,"17","75","200036473","32",4739225.2000001
"17215","Lussac","2018",5.76716427433398,100621.0946,"2021",5.76716427433398,100621.0946,0,0,"17","75","200041523","10322",1744723.92000001
"17216","Lussant","2018",10.8257088403993,973239.5573,"2021",10.8571818301128,976069.0033,2829.446,0.0314729897134569,"17","75","200041762","30",8990076.97000006
"17217","Macqueville","2018",5.37884618137832,606403.1543,"2021",5.40932731169485,609839.5518,3436.3975,0.0304811303165291,"17","75","200041689","31",11273851.9350001
"17218","Marans","2018",5.5764401727699,4669467.2397,"2021",5.58408556636963,4675869.1581,6401.9184,0.00764539359972982,"17","75","200041499","237",83735628.735
"17219","Marennes-Hiers-Brouage","2018",9.89518431862833,5213978.7129,"2021",10.2632564084931,5407923.5632,193944.8503,0.368072089864722,"17","75","241700699","191",52692082.7850002
"17220","Marignac","2018",5.7230724828911,770708.5671,"2021",5.73191040065626,771898.7423,1190.1752,0.00883791776516762,"17","75","200041523","10322",13466692.4000002
"17221","Marsais","2018",5.57618806898108,1327653.1275,"2021",5.66327545489995,1348388.0523,20734.9248,0.0870873859188652,"17","75","200041614","237",23809331.95
"17222","Marsilly","2018",19.8167969304542,2385269.9348,"2021",19.8958169019996,2394781.2581,9511.3233,0.079019971545403,"17","75","241700434","237",12036606.8400002
"17223","Massac","2018",5.23250552164976,481891.3022,"2021",5.237091059975,482313.6106,422.3084,0.00458553832524355,"17","75","200041689","31",9209570.83000008
"17224","Matha","2018",13.1390883782077,2530444.0881,"2021",13.2120455710344,2544494.842,14050.7539,0.0729571928266459,"17","75","200041689","31",19258901.4949999
"17225","Les Mathes","2018",19.0909490407309,6665123.3552,"2021",19.2676805648155,6726824.7094,61701.3542,0.176731524084587,"17","75","241700640","190",34912477.8500002
"17226","Mazeray","2018",10.4903115376715,2054842.5749,"2021",10.5559669108787,2067703.1516,12860.5767,0.0656553732072087,"17","75","200041689","31",19588003.345
"17227","Mazerolles","2018",9.54613166406867,492672.8324,"2021",9.57987453724597,494414.2914,1741.459,0.0337428731773048,"17","75","200041523","10322",5160968.33500008
"17228","Médis","2018",15.9229422929673,3760463.8839,"2021",16.1071633623736,3803970.7098,43506.8259,0.184221069406314,"17","75","241700640","190",23616639.5299999
"17229","Mérignac","2018",10.6457412424417,477449.2798,"2021",10.5747279117684,474264.4134,-3184.8664,-0.0710133306732601,"17","75","200041523","10322",4484885.25999993
"17230","Meschers-sur-Gironde","2018",12.6533606099388,3567320.5208,"2021",12.8323101467247,3617771.1777,50450.6569,0.178949536785899,"17","75","241700640","190",28192672.5299996
"17231","Messac","2018",4.92160630162681,357277.4876,"2021",4.98178336400899,361645.9617,4368.4741,0.0601770623821798,"17","75","200041523","10322",7259367.48499985
"17232","Meursac","2018",8.21946272535172,2170120.9587,"2021",8.33745224746015,2201272.8166,31151.8579,0.117989522108431,"17","75","241700632","32",26402223.9800003
"17233","Meux","2018",8.92354209381591,747482.7897,"2021",9.11233432961163,763297.0197,15814.23,0.188792235795722,"17","75","200041523","10322",8376525.62000029
"17234","Migré","2018",5.76053412185219,830584.9929,"2021",5.81960703365383,839102.4451,8517.4522,0.0590729118016373,"17","75","200041689","31",14418541.3250003
"17235","Migron","2018",7.91837272801335,1188659.9126,"2021",7.99541120254298,1200224.4789,11564.5663,0.0770384745296262,"17","75","200036473","32",15011416.5299999
"17236","Mirambeau","2018",9.58386578458791,2560046.279,"2021",9.71909457032298,2596168.6494,36122.3704,0.135228785735075,"17","75","200041523","10322",26712042.2650001
"17237","Moëze","2018",3.39440450431546,717917.4218,"2021",2.94706639718035,623305.2976,-94612.1242,-0.447338107135115,"17","75","200041762","30",21150025.6050002
"17239","Mons","2018",5.19862854954916,818818.3925,"2021",5.20905780032012,820461.0685,1642.676,0.0104292507709633,"17","75","200041689","31",15750661.6350001
"17240","Montendre","2018",16.8024086320694,4330647.9903,"2021",16.9357439811573,4365013.805,34365.8147,0.133335349087879,"17","75","200041523","10322",25773971.3700001
"17241","Montguyon","2018",14.1323988225814,2575032.8728,"2021",14.1964288532788,2586699.6419,11666.7691,0.0640300306973902,"17","75","200041523","10322",18220776.9900004
"17242","Montils","2018",5.70114186173535,1360153.6217,"2021",5.7435576465297,1370272.9951,10119.3734,0.0424157847943407,"17","75","200036473","32",23857564.9350003
"17243","Montlieu-la-Garde","2018",7.40059229395306,2358319.457,"2021",7.44458687777905,2372339.0488,14019.5918,0.0439945838259908,"17","75","200041523","10322",31866631.2550004
"17244","Montpellier-de-Médillan","2018",8.06651965181546,1208708.5954,"2021",8.12171968321587,1216979.9138,8271.3184,0.0552000314004086,"17","75","241700632","32",14984263.94
