DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Collecte,Transport,Dépollution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - STEU,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SANDRE ouvrage,D203.0,P203.3,P204.3,P205.3,P206.3,P254.3,VP.176,VP.209,VP.210,VP.211
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36326,Saint Maurice en Gourgois- Chemin de Chabanne,0442262S0001,0,100,100,100,,100,"24,4",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36325,Saint Maurice en Gourgois- Gourgois,0442262S0002,0,,,,,100,"5,4",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36324,Saint Maurice en Gourgois- La Rivière,0442262S0004,0,100,100,100,,100,"22,2",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36327,Saint Maurice en Gourgois- Morier,0442262S0006,0,,,,,100,"1,2",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36322,Saint Maurice en Gourgois- Pinet,0442262S0005,0,,,,,100,6,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36323,Saint Maurice en Gourgois- Pommerlet,0442262S0007,0,,,,,100,9,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,154781,Saint Maurice en Gourgois- Pommerol,0442262S0003,0,,,,,100,"2,4",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36330,Saint Nizier de Fornas- Bourg,0442266S0001,0,,,,,100,8,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,195261,Saint Nizier de Fornas- Bourg nord,0442266S0004,0,,,,,100,"8,1",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36329,Saint Nizier de Fornas- Geneviecq,0442266S0002,0,,,,,100,"4,5",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36331,Saint Nizier de Fornas- Greziecq,0442266S0003,0,,,,,100,"2,4",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36215,Saint-Christo-en-Jarez-  Bourg,0442208S0001,0,100,100,100,,100,30,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36213,Saint-Christo-en-Jarez- Borgia,0442208S0002,0,100,100,100,,100,20,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36214,Saint-Christo-en-Jarez- La Roche,0442208S0003,0,,,,,100,0,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36268,Saint-Héand- Les Chazottes,0442234S0002,"29,8",100,0,0,100,100,"111,9","29,79",12,12
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36267,Saint-Héand- Les Raymondes,0442234S0003,0,,,,,100,"3,6",,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36266,Saint-Héand- Mont Mollot,0442234S0004,0,,,,,100,3,,1,1
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36274,Saint-Jean-Bonnefonds- le colombier,0442237S0002,"61,3",100,100,100,100,100,157,"61,34",12,12
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,36284,Saint-Joseph- Bissieux,060942242002,0,,,,,100,"4,8",,1,1
