DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Code UGE de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Production,Transfert,Distribution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - Prélèvement,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SISEAUX ouvrage,VP.194,VP.212,VP.223
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1557,captage Eyrard à Noyarey,038001523,,40,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1999,captage Fontanette à Domène,038000017,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1561,captage Fontanettes à Notre Dame de Commiers,038000039,,40,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2312,captage Félix Faure à Vif,038000501,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1847,captage Garretière à Claix (non utilisé),038001003,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1997,captage Giraud Carrier à Domène,038000022,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1994,captage Grand à Domène,038000026,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1616,captage Grands Pras à Séchilienne,038000147,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1842,captage Jayère à Claix,038001002,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2314,captage Jonier au Gua,038000495,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2315,captage L'Echaillon au Gua,038000493,,80,
