Code_commune_residence,Commune_residence,Code_lieu_travail,Lieu_travail,Actifs_occupes_flux_domicile_travail
35047,Bruz,35095,Dol-de-Bretagne,1.22
35047,Bruz,35099,Domloup,9.0
35047,Bruz,35105,Erbrée,2.58
35047,Bruz,35109,Étrelles,18.69
35047,Bruz,35115,Fougères,10.56
35047,Bruz,35117,Gaël,5.58
35047,Bruz,35120,Gévezé,3.72
35047,Bruz,35121,Gosné,4.14
35047,Bruz,35123,Goven,30.46
35047,Bruz,35124,Grand-Fougeray,1.22
35047,Bruz,35125,La Guerche-de-Bretagne,5.13
35047,Bruz,35126,Guichen,125.17
35047,Bruz,35127,Guignen,20.9
35047,Bruz,35131,L'Hermitage,25.24
35047,Bruz,35136,Janzé,30.13
35047,Bruz,35139,Laillé,28.02
35047,Bruz,35152,Liffré,3.6
35047,Bruz,35168,Val d'Anast,17.22
35047,Bruz,35173,Melesse,19.41
35047,Bruz,35175,Mernel,8.46
35047,Bruz,35176,Guipry-Messac,22.88
35047,Bruz,35177,La Mézière,12.43
35047,Bruz,35184,Montauban-de-Bretagne,7.5
35047,Bruz,35188,Montfort-sur-Meu,10.75
35047,Bruz,35189,Montgermont,19.13
35047,Bruz,35196,Mordelles,85.17
35047,Bruz,35206,Noyal-Châtillon-sur-Seiche,162.86
35047,Bruz,35207,Noyal-sur-Vilaine,35.62
35047,Bruz,35208,Orgères,40.69
35047,Bruz,35210,Pacé,61.25
35047,Bruz,35219,Pipriac,11.17
35047,Bruz,35221,Pléchâtel,6.26
35047,Bruz,35223,Plélan-le-Grand,3.6
35047,Bruz,35227,Pleumeleuc,12.74
35047,Bruz,35231,Poligné,2.3
35047,Bruz,35236,Redon,59.99
35047,Bruz,35238,Rennes,2617.76
35047,Bruz,35239,Retiers,5.58
35047,Bruz,35240,Le Rheu,167.68
35047,Bruz,35245,Romillé,0.95
35047,Bruz,35246,Roz-Landrieux,1.24
35047,Bruz,35251,Saint-Aubin-d'Aubigné,4.11
35047,Bruz,35253,Saint-Aubin-du-Cormier,1.22
35047,Bruz,35266,Saint-Erblon,47.9
35047,Bruz,35274,Saint-Germain-sur-Ille,1.08
35047,Bruz,35275,Saint-Gilles,15.2
35047,Bruz,35278,Saint-Grégoire,191.66
35047,Bruz,35281,Saint-Jacques-de-la-Lande,404.57
35047,Bruz,35283,Saint-Jean-sur-Vilaine,1.39
35047,Bruz,35288,Saint-Malo,19.58
35047,Bruz,35294,Sainte-Marie,7.51
35047,Bruz,35310,Saint-Sauveur-des-Landes,4.24
35047,Bruz,35312,Saint-Senoux,1.24
35047,Bruz,35317,Saint-Symphorien,4.86
35047,Bruz,35319,Saint-Thurial,1.69
35047,Bruz,35322,Le Sel-de-Bretagne,1.08
35047,Bruz,35327,Servon-sur-Vilaine,9.0
35047,Bruz,35331,Talensac,3.16
35047,Bruz,35334,Thorigné-Fouillard,13.42
35047,Bruz,35337,Tinténiac,9.25
35047,Bruz,35352,Vern-sur-Seiche,84.44
35047,Bruz,35353,Vezin-le-Coquet,37.61
35047,Bruz,35356,Vignoc,4.86
35047,Bruz,35360,Vitré,26.19
35047,Bruz,35363,Pont-Péan,18.18
35047,Bruz,37016,Azay-sur-Indre,3.16
35047,Bruz,44020,Bouguenais,4.14
35047,Bruz,44026,Carquefou,4.14
35047,Bruz,44051,Derval,3.6
35047,Bruz,44067,Guémené-Penfao,3.16
35047,Bruz,44084,Le Loroux-Bottereau,1.39
35047,Bruz,44109,Nantes,17.32
35047,Bruz,44114,Orvault,10.49
35047,Bruz,44143,Rezé,3.16
35047,Bruz,44184,Saint-Nazaire,3.6
35047,Bruz,44185,Saint-Nicolas-de-Redon,11.19
35047,Bruz,49007,Angers,9.41
35047,Bruz,49023,Beaupréau-en-Mauges,1.39
35047,Bruz,49080,Les Hauts-d'Anjou,3.72
35047,Bruz,49123,Distré,1.22
35047,Bruz,49373,Lys-Haut-Layon,6.42
35047,Bruz,50184,Flamanville,1.51
35047,Bruz,50551,Saint-Sauveur-le-Vicomte,3.16
35047,Bruz,50615,Valognes,3.16
35047,Bruz,53025,Bazougers,3.16
35047,Bruz,53054,Changé,2.78
35047,Bruz,53130,Laval,21.9
35047,Bruz,53201,Saint-Berthevin,3.16
35047,Bruz,56006,Augan,0.95
35047,Bruz,56033,Carentoir,1.7
35047,Bruz,56060,Les Fougerêts,1.23
35047,Bruz,56061,La Gacilly,11.55
35047,Bruz,56075,Guer,11.47
35047,Bruz,56078,Guidel,3.16
35047,Bruz,56121,Lorient,9.48
35047,Bruz,56127,Mauron,4.14
35047,Bruz,56162,Ploemeur,3.21
35047,Bruz,56185,Quéven,1.09
35047,Bruz,56194,Rieux,6.32
35047,Bruz,56206,Saint-Avé,4.14
35047,Bruz,56213,Saint-Gérand-Croixanvec,1.7
35047,Bruz,56243,Séné,1.08
35047,Bruz,56260,Vannes,2.16
35047,Bruz,59178,Douai,0.95
35047,Bruz,60175,Creil,1.48
35047,Bruz,62041,Arras,4.24
35047,Bruz,67237,Kilstett,3.63
35047,Bruz,67388,Reichshoffen,1.39
35047,Bruz,69273,Corbas,3.63
35047,Bruz,72042,Bouloire,1.39
35047,Bruz,72181,Le Mans,4.93
35047,Bruz,73034,Beaufort,2.49
35047,Bruz,75105,Paris 5e Arrondissement,1.39
35047,Bruz,75107,Paris 7e Arrondissement,6.42
35047,Bruz,75108,Paris 8e Arrondissement,4.64
35047,Bruz,75109,Paris 9e Arrondissement,3.16
35047,Bruz,75110,Paris 10e Arrondissement,1.08
35047,Bruz,75112,Paris 12e Arrondissement,3.66
35047,Bruz,75113,Paris 13e Arrondissement,1.39
35047,Bruz,75115,Paris 15e Arrondissement,10.49
35047,Bruz,77146,Croissy-Beaubourg,3.16
35047,Bruz,77258,Lognes,5.68
35047,Bruz,78551,Saint-Germain-en-Laye,3.63
35047,Bruz,78640,Vélizy-Villacoublay,1.08
35047,Bruz,78646,Versailles,6.47
35047,Bruz,89024,Auxerre,1.23
35047,Bruz,91286,Grigny,1.09
35047,Bruz,92023,Clamart,1.48
35047,Bruz,92044,Levallois-Perret,4.38
35047,Bruz,92046,Malakoff,6.38
35047,Bruz,92050,Nanterre,4.64
35047,Bruz,92062,Puteaux,1.08
35047,Bruz,93070,Saint-Ouen-sur-Seine,4.93
35047,Bruz,93073,Tremblay-en-France,1.09
35047,Bruz,94041,Ivry-sur-Seine,0.95
35047,Bruz,94043,Le Kremlin-Bicêtre,3.66
35047,Bruz,94074,Valenton,1.48
35047,Bruz,95527,Roissy-en-France,3.66
35047,Bruz,97217,Le Marin,4.93
35047,Bruz,BE540,MOUSCRON,4.86
35051,Cesson-Sévigné,01041,Bettant,8.14
35051,Cesson-Sévigné,14118,Caen,9.63
35051,Cesson-Sévigné,21231,Dijon,2.72
35051,Cesson-Sévigné,22046,Le Mené,4.08
35051,Cesson-Sévigné,22054,Erquy,0.96
35051,Cesson-Sévigné,22093,Lamballe-Armor,1.66
35051,Cesson-Sévigné,22113,Lannion,7.15
35051,Cesson-Sévigné,22215,Ploufragan,5.1
35051,Cesson-Sévigné,22259,Quévert,3.88
35051,Cesson-Sévigné,22371,Trémorel,1.02
35051,Cesson-Sévigné,22389,Yffiniac,5.81
35051,Cesson-Sévigné,25056,Besançon,4.08
35051,Cesson-Sévigné,29232,Quimper,1.36
35051,Cesson-Sévigné,32269,Monfort,3.26
35051,Cesson-Sévigné,33318,Pessac,4.08
35051,Cesson-Sévigné,35001,Acigné,43.01
35051,Cesson-Sévigné,35006,Argentré-du-Plessis,15.83
35051,Cesson-Sévigné,35009,Baguer-Morvan,3.75
35051,Cesson-Sévigné,35012,Bain-de-Bretagne,16.77
35051,Cesson-Sévigné,35023,Bédée,0.94
35051,Cesson-Sévigné,35024,Betton,35.12
35051,Cesson-Sévigné,35031,La Bouëxière,5.49
35051,Cesson-Sévigné,35032,Bourgbarré,11.96
