Code_commune_residence,Commune_residence,Code_lieu_etudes,Lieu_etudes,Eleves_etudiants_flux_domicile_etudes
35076,Chavagne,35278,Saint-Grégoire,29.78
35076,Chavagne,56158,Plescop,4.72
35076,Chavagne,56260,Vannes,4.72
35076,Chavagne,75117,Paris 17e Arrondissement,4.56
35079,Chevaigné,14341,Ifs,5.15
35079,Chevaigné,35003,Andouillé-Neuville,9.84
35079,Chevaigné,35024,Betton,89.64
35079,Chevaigné,35047,Bruz,5.07
35079,Chevaigné,35051,Cesson-Sévigné,5.0
35079,Chevaigné,35079,Chevaigné,233.61
35079,Chevaigné,35152,Liffré,5.07
35079,Chevaigné,35238,Rennes,140.49
35079,Chevaigné,35251,Saint-Aubin-d'Aubigné,19.91
35079,Chevaigné,35278,Saint-Grégoire,44.97
35079,Chevaigné,35315,Saint-Sulpice-la-Forêt,5.07
35079,Chevaigné,37261,Tours,5.07
35080,Cintré,34172,Montpellier,5.27
35080,Cintré,35051,Cesson-Sévigné,15.67
35080,Cintré,35055,Chantepie,5.25
35080,Cintré,35080,Cintré,225.86
35080,Cintré,35188,Montfort-sur-Meu,10.5
35080,Cintré,35196,Mordelles,63.04
35080,Cintré,35210,Pacé,5.27
35080,Cintré,35238,Rennes,173.34
35080,Cintré,35240,Le Rheu,257.46
35080,Cintré,35251,Saint-Aubin-d'Aubigné,5.29
35080,Cintré,35278,Saint-Grégoire,10.64
35080,Cintré,50168,Ducey-Les Chéris,5.19
35081,Clayes,22389,Yffiniac,5.28
35081,Clayes,35047,Bruz,5.07
35081,Clayes,35051,Cesson-Sévigné,15.53
35081,Clayes,35081,Clayes,88.34
35081,Clayes,35131,L'Hermitage,5.28
35081,Clayes,35210,Pacé,15.74
35081,Clayes,35238,Rennes,62.03
35081,Clayes,35245,Romillé,35.93
35081,Clayes,35275,Saint-Gilles,10.25
35081,Clayes,35278,Saint-Grégoire,15.53
35088,Corps-Nuds,14035,Balleroy-sur-Drôme,4.91
35088,Corps-Nuds,22187,Plérin,11.91
35088,Corps-Nuds,29232,Quimper,5.05
35088,Corps-Nuds,35032,Bourgbarré,10.09
35088,Corps-Nuds,35047,Bruz,15.14
35088,Corps-Nuds,35051,Cesson-Sévigné,24.81
35088,Corps-Nuds,35088,Corps-Nuds,324.28
35088,Corps-Nuds,35093,Dinard,5.05
35088,Corps-Nuds,35136,Janzé,207.56
35088,Corps-Nuds,35210,Pacé,5.05
35088,Corps-Nuds,35238,Rennes,251.94
35088,Corps-Nuds,35266,Saint-Erblon,5.05
35088,Corps-Nuds,35278,Saint-Grégoire,4.77
35088,Corps-Nuds,35352,Vern-sur-Seiche,5.05
35088,Corps-Nuds,44109,Nantes,4.91
35088,Corps-Nuds,49007,Angers,5.05
35120,Gévezé,22003,Aucaleuc,5.45
35120,Gévezé,22050,Dinan,16.07
35120,Gévezé,22215,Ploufragan,5.65
35120,Gévezé,34172,Montpellier,5.55
35120,Gévezé,35047,Bruz,16.08
35120,Gévezé,35120,Gévezé,776.02
35120,Gévezé,35128,Guipel,5.36
35120,Gévezé,35173,Melesse,16.36
35120,Gévezé,35177,La Mézière,235.66
35120,Gévezé,35210,Pacé,133.6
35120,Gévezé,35238,Rennes,371.3
35120,Gévezé,35245,Romillé,5.36
35120,Gévezé,35278,Saint-Grégoire,43.25
35120,Gévezé,35284,Saint-Jouan-des-Guérets,5.55
35120,Gévezé,35317,Saint-Symphorien,5.45
35120,Gévezé,35337,Tinténiac,26.43
35120,Gévezé,44109,Nantes,5.45
35120,Gévezé,49007,Angers,10.72
35131,L'Hermitage,22215,Ploufragan,4.81
35131,L'Hermitage,22278,Saint-Brieuc,4.08
35131,L'Hermitage,35016,Baulon,4.81
35131,L'Hermitage,35047,Bruz,15.67
