annee_universitaire,niveau_geographique,geo_nom,regroupement,rgp_formations_ou_etablissements,secteur,secteur_de_l_etablissement,sexe,sexe_de_l_etudiant,effectif,effectifhdccpge,a_des_effectifs_dut,effectif_dut,a_des_effectifs_ing,effectif_ing,a_des_effectifs_form_ens,effectif_form_ens,a_des_effectifs_apprentis_sts,effectif_apprentis_en_sts,effectif_atlas,niveau_geo,geo_id,reg_id,aca_id,dep_id,uucr_id,rentree,annee
2001-02,Commune,Redon,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,2,Feminin,125,0,non,0,non,0,non,0,non,0,125,COMMUNE,35236,R53,A14,D035,UU00456,2001,2002
2001-02,Commune,Corenc,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,2,Feminin,55,0,non,0,non,0,non,0,non,0,55,COMMUNE,38126,R84,A08,D038,UU38701,2001,2002
2001-02,Commune,Crémieu,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,33,0,non,0,non,0,non,0,non,0,33,COMMUNE,38138,R84,A08,D038,UU38201,2001,2002
2001-02,Commune,L'Isle-d'Abeau,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,72,0,non,0,non,0,non,0,non,0,72,COMMUNE,38193,R84,A08,D038,UU38501,2001,2002
2001-02,Commune,Rennes,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,2,Feminin,1151,0,non,0,non,0,non,0,non,0,1151,COMMUNE,35238,R53,A14,D035,UU35701,2001,2002
2001-02,Commune,Saint-Malo,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,1,Masculin,12,0,non,0,non,0,non,0,non,0,12,COMMUNE,35288,R53,A14,D035,UU35402,2001,2002
2001-02,Commune,Grenoble,IUFM,Instituts universitaires de formation des maîtres,PU,Établissements publics,2,Feminin,1164,0,non,0,non,0,non,0,non,0,1164,COMMUNE,38185,R84,A08,D038,UU38701,2001,2002
2001-02,Commune,Villette-d'Anthon,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,2,Feminin,15,0,non,0,non,0,non,0,non,0,15,COMMUNE,38557,R84,A08,D038,UU38128,2001,2002
2001-02,Commune,Rennes,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,2,Feminin,231,0,non,0,non,0,non,0,non,0,231,COMMUNE,35238,R53,A14,D035,UU35701,2001,2002
2001-02,Département,Isère,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,1,Masculin,182,0,non,0,non,0,non,0,non,0,182,DEPARTEMENT,D038,R84,A08,D038,,2001,2002
2001-02,Département,Isère,EC_ART,Écoles supérieures art et culture,PU,Établissements publics,1,Masculin,499,0,non,0,non,0,non,0,non,0,499,DEPARTEMENT,D038,R84,A08,D038,,2001,2002
2001-02,Département,Ille-et-Vilaine,CPGE,Classes préparatoires aux grandes écoles (CPGE),PU,Établissements publics,2,Feminin,523,0,non,0,non,0,non,0,non,0,523,DEPARTEMENT,D035,R53,A14,D035,,2001,2002
2012-13,Commune,Vitré,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,76,0,non,0,non,0,non,0,non,0,76,COMMUNE,35360,R53,A14,D035,UU35303,2012,2013
2020-21,Commune,Le Rheu,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,82,82,non,0,non,0,non,0,oui,5,82,COMMUNE,35240,R53,A14,D035,UU35302,2020,2021
2012-13,Commune,Moirans,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,2,Feminin,42,0,non,0,non,0,non,0,non,0,42,COMMUNE,38239,R84,A08,D038,UU38502,2012,2013
2012-13,Commune,Rennes,GE,Grands établissements MENESR,PU,Établissements publics,2,Feminin,123,0,non,0,non,0,non,0,non,0,123,COMMUNE,35238,R53,A14,D035,UU35701,2012,2013
2012-13,Commune,Grenoble,GE,Grands établissements MENESR,PU,Établissements publics,1,Masculin,1387,0,non,0,oui,1256,non,0,non,0,1387,COMMUNE,38185,R84,A08,D038,UU38701,2012,2013
2012-13,Commune,Cesson-Sévigné,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,2,Feminin,13,0,non,0,non,0,non,0,non,0,13,COMMUNE,35051,R53,A14,D035,UU35701,2012,2013
2012-13,Commune,Redon,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,1,Masculin,87,0,non,0,non,0,non,0,non,0,87,COMMUNE,35236,R53,A14,D035,UU00456,2012,2013
2012-13,Commune,Fougères,EC_PARAM,Écoles paramédicales et sociales,PU,Établissements publics,2,Feminin,148,0,non,0,non,0,non,0,non,0,148,COMMUNE,35115,R53,A14,D035,UU35401,2012,2013
2019-20,Département,Ille-et-Vilaine,UNIV,Universités,PU,Établissements publics,2,Feminin,28073,27317,oui,790,oui,111,oui,775,non,0,27317,DEPARTEMENT,D035,R53,A14,D035,,2019,2020
2003-04,Commune,La Côte-Saint-André,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,49,0,non,0,non,0,non,0,non,0,49,COMMUNE,38130,R84,A08,D038,UU38205,2003,2004
2003-04,Commune,Plateau-des-Petites-Roches,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,1,Masculin,9,0,non,0,non,0,non,0,non,0,9,COMMUNE,38395,R84,A08,D038,CR38395,2003,2004
2004-05,Commune,La Tronche,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,1561,0,non,0,non,0,non,0,non,0,1561,COMMUNE,38516,R84,A08,D038,UU38701,2004,2005
2006-07,Département,Ille-et-Vilaine,EC_autres,Autres écoles de spécialités diverses,PU,Établissements publics,2,Feminin,224,0,non,0,non,0,non,0,non,0,224,DEPARTEMENT,D035,R53,A14,D035,,2006,2007
2006-07,Département,Ille-et-Vilaine,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,1,Masculin,724,0,non,0,non,0,non,0,non,0,724,DEPARTEMENT,D035,R53,A14,D035,,2006,2007
2006-07,Département,Ille-et-Vilaine,EC_PARAM,Écoles paramédicales et sociales,PU,Établissements publics,1,Masculin,228,0,non,0,non,0,non,0,non,0,228,DEPARTEMENT,D035,R53,A14,D035,,2006,2007
2005-06,Commune,Saint-Martin-d'Hères,UNIV,Universités,PU,Établissements publics,2,Feminin,15300,0,oui,324,oui,206,non,0,non,0,15300,COMMUNE,38421,R84,A08,D038,UU38701,2005,2006
2005-06,Commune,Le Rheu,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,1,Masculin,174,0,non,0,non,0,non,0,non,0,174,COMMUNE,35240,R53,A14,D035,UU35302,2005,2006
2003-04,Département,Isère,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,1,Masculin,517,0,non,0,non,0,non,0,non,0,517,DEPARTEMENT,D038,R84,A08,D038,,2003,2004
2003-04,Département,Ille-et-Vilaine,ING_autres,Autres formations d'ingénieurs,PR,Établissements privés,1,Masculin,403,0,non,0,oui,403,non,0,non,0,403,DEPARTEMENT,D035,R53,A14,D035,,2003,2004
2004-05,Commune,Saint-Malo,EC_PARAM,Écoles paramédicales et sociales,PU,Établissements publics,1,Masculin,15,0,non,0,non,0,non,0,non,0,15,COMMUNE,35288,R53,A14,D035,UU35402,2004,2005
2004-05,Commune,Grenoble,CPGE,Classes préparatoires aux grandes écoles (CPGE),PU,Établissements publics,1,Masculin,579,0,non,0,non,0,non,0,non,0,579,COMMUNE,38185,R84,A08,D038,UU38701,2004,2005
2006-07,Commune,L'Isle-d'Abeau,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,1,Masculin,25,0,non,0,non,0,non,0,non,0,25,COMMUNE,38193,R84,A08,D038,UU38501,2006,2007
2006-07,Commune,Bruz,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,1,Masculin,19,0,non,0,non,0,non,0,non,0,19,COMMUNE,35047,R53,A14,D035,UU35701,2006,2007
2006-07,Commune,Saint-Martin-d'Hères,INP,Instituts nationaux polytechniques (INP),PU,Établissements publics,1,Masculin,1881,0,non,0,oui,1880,non,0,non,0,1881,COMMUNE,38421,R84,A08,D038,UU38701,2006,2007
2006-07,Commune,Redon,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,2,Feminin,34,0,non,0,non,0,non,0,non,0,34,COMMUNE,35236,R53,A14,D035,UU00456,2006,2007
2006-07,Commune,Grenoble,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,2,Feminin,491,0,non,0,non,0,non,0,non,0,491,COMMUNE,38185,R84,A08,D038,UU38701,2006,2007
2006-07,Commune,Bruz,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,2,Feminin,143,0,non,0,non,0,non,0,non,0,143,COMMUNE,35047,R53,A14,D035,UU35701,2006,2007
2018-19,Commune,Grenoble,EC_PARAM,Écoles paramédicales et sociales,PU,Établissements publics,1,Masculin,114,114,non,0,non,0,non,0,non,0,114,COMMUNE,38185,R84,A08,D038,UU38701,2018,2019
2012-13,Département,Isère,UNIV,Universités,PU,Établissements publics,2,Feminin,20835,0,oui,1488,oui,201,non,0,non,0,20835,DEPARTEMENT,D038,R84,A08,D038,,2012,2013
2010-11,Commune,Rennes,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,528,0,non,0,non,0,non,0,non,0,528,COMMUNE,35238,R53,A14,D035,UU35701,2010,2011
2010-11,Commune,Bourgoin-Jallieu,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,62,0,non,0,non,0,non,0,non,0,62,COMMUNE,38053,R84,A08,D038,UU38501,2010,2011
2010-11,Commune,Voiron,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,1,Masculin,116,0,non,0,non,0,non,0,non,0,116,COMMUNE,38563,R84,A08,D038,UU38502,2010,2011
2010-11,Commune,Cesson-Sévigné,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,1,Masculin,98,0,non,0,non,0,non,0,non,0,98,COMMUNE,35051,R53,A14,D035,UU35701,2010,2011
2010-11,Commune,Villemoirieu,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,1,Masculin,18,0,non,0,non,0,non,0,non,0,18,COMMUNE,38554,R84,A08,D038,UU38201,2010,2011
2010-11,Commune,Bruz,ING_autres,Autres formations d'ingénieurs,PU,Établissements publics,2,Feminin,81,0,non,0,oui,81,non,0,non,0,81,COMMUNE,35047,R53,A14,D035,UU35701,2010,2011
