"Géographie";"Niveau Géo";"Âge";"Sexe";"Diplôme";"Indicateur du lieu d’étude";"Mesure du recensement ";"Fréquence";"Statut de l'observation";Période;Valeur
"Proveysieux";"Commune";"15 ans ou plus";"Femme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;87,30845
"Meylan";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;756,86436
"Brié-et-Angonnes";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;185
"Saint-Barthélemy-de-Séchilienne";"Commune";"15 ans ou plus";"Femme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;27
"Jarrie";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;432,76132
"Séchilienne";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;106
"Corenc";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;261,85548
"Montchaboud";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;11,32448
"Herbeys";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;1019,79011
"Échirolles";"Commune";"15 ans ou plus";"Total";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;8877,99884
"Fontaine";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;7770,67332
"Champ-sur-Drac";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;1121,3967
"Notre-Dame-de-Commiers";"Commune";"15 ans ou plus";"Total";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;123,05792
"Saint-Barthélemy-de-Séchilienne";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;150
"Bresson";"Commune";"15 ans ou plus";"Total";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;285
"Bresson";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;45
"Brié-et-Angonnes";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;937
"Grenoble";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;7451,30381
"Gières";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;2283,06218
"Eybens";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;1609,91587
"Échirolles";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;4249,12102
"Eybens";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;843,49137
"Échirolles";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;3037,41422
"Mont-Saint-Martin";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;4
"Champagnier";"Commune";"15 ans ou plus";"Total";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;143
"Champ-sur-Drac";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;319,43158
"Saint-Martin-le-Vinoux";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;571,32315
"Saint-Barthélemy-de-Séchilienne";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;31
"Saint-Barthélemy-de-Séchilienne";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;75
"Bresson";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;56
"Quaix-en-Chartreuse";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;68,99662
"Seyssinet-Pariset";"Commune";"15 ans ou plus";"Femme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;1749,58849
"Noyarey";"Commune";"15 ans ou plus";"Total";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;406,21033
"Saint-Égrève";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;2259,94591
"Saint-Égrève";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;5307,80005
"Saint-Égrève";"Commune";"15 ans ou plus";"Total";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;2503,3737
"Grenoble";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;14810,72854
"Échirolles";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;11816,28757
"Murianette";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;43,46551
"Fontaine";"Commune";"15 ans ou plus";"Homme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;2139,76797
"Sarcenas";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;12,66837
"Sassenage";"Commune";"15 ans ou plus";"Total";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;3018,89148
"Sarcenas";"Commune";"15 ans ou plus";"Femme";"Diplôme d'études supérieures";"Hors champ";"Population";"Annuel";"Normale";2016;38,97959
"Claix";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;962,31402
"Brié-et-Angonnes";"Commune";"15 ans ou plus";"Total";"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2016;398
"Saint-Pierre-de-Mésage";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;269,5176
"Proveysieux";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2016;363,12377
"Le Gua";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;125,18494
"Herbeys";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2016;134,31617
