CodGeo;Note;nbLsPls;nbLsMes;txVac;txVac3m;txRot;txLsCol;txLsInd;txLs1p;txLs2p;txLs3p;txLs4p;txLs5pp;txLsm30;txLs30a40;txLs40a60;txLs60a80;txLs80a100;txLs100a120;txLs120p;txLsAv49;txLs49a75;txLs76a88;txLs89a00;txLs01a13;txLsAp13;txLsPlai;txLsPlusAv77;txLsPlusAp77;txLsPls;txLsPli;moyLoy;q1Loy;medLoy;q3Loy
69088;0;767;11;0;0;8,2;96,4;3,6;0;26,1;36,9;28;9;0;0;29,1;50,9;14,4;5,6;0;1,6;42,3;18,6;0;24,2;13,4;4,3;59,2;25,9;3,6;7;7;6,04;6,61;7,61
69089;0;1081;29;1,4;0;8,8;96,7;3,3;3;23,5;38,9;27,9;6,7;0;4,9;21,9;52,6;19,4;1,2;0;0;17,8;7,1;13,7;39,7;21,7;8,7;18,5;52,5;19;1,4;7,38;6,46;7,26;7,77
69091;0;3449;24;0;0;7,7;98,7;1,3;4,1;15,9;40,1;31,6;8,4;0,5;7,6;30,6;43;15,7;2,3;0,3;1,7;61;23,6;6,2;3,3;4,2;1,9;72,6;21,8;3,8;0;5,56;4,91;5,28;5,96
69092;0;840;28;4,2;1,4;7,7;87,6;12,4;1,3;12,1;33,9;39,8;12,8;0;1,3;17,4;44,3;31;4,6;1,3;2,7;45,9;40,7;0;2,8;8;2,8;54,5;35,1;7,6;0;6,1;5,43;5,89;6,72
69096;0;1154;0;0;1,5;7,5;95,2;4,8;4;17,5;40,9;30,4;7,3;0;7,5;37,5;40,1;13,1;1,7;0;0;63,2;8,6;13,1;10,9;4,2;3,4;60,2;31,1;5,2;0;6,23;5,49;6,09;6,83
69100;0;694;0;1,7;0;6,4;90;10;4,3;16,5;34,9;31,8;12,5;0;4;20,3;40,4;29,7;5,7;0;0;45;38;2,8;0;14,2;5;60,7;31,4;2,9;0;6,48;5,79;6,35;7,05
69123;0;54827;753;1,6;0,6;6,2;99,6;0,4;13,3;24,8;33,5;22;6,4;8,3;8,6;32,6;33,4;14,2;2,4;0,5;19,4;31,8;8,1;14;12,4;14,2;8,1;35;36,5;15,5;4,9;;;;
69142;0;695;0;0;0;4,4;100;0;7,7;22,1;40,7;21,5;7,9;2,6;9,8;49,9;27,3;8,9;0;1,6;1,9;82,9;9,5;0;1,6;4,1;2,2;85,1;10,3;2,4;0;6,3;5,66;6,23;6,83
69143;0;877;0;1,5;0;6;100;0;1,4;17,4;39,6;33,1;8,6;0;2;20,4;56,8;19,3;1,6;0;3,5;41,5;45,3;0;0;9,8;4,4;80,6;12,9;2,1;0;6,15;5,7;5,99;6,4
69149;0;3419;54;1,1;0,5;5,9;98,3;1,7;8;20,3;36,6;26,7;8,5;5,5;4,1;28,2;41,5;17,4;2,7;0,5;9,6;33,7;20,9;13,6;8,4;13,8;4,4;44,7;36,1;11,2;3,6;6,62;5,42;6,51;7,43
69191;0;355;35;9,9;0;5,6;92,8;7,2;3,1;29,9;38,9;19,4;8,7;3;4,3;26,9;44,3;15,2;3,3;3;0;23,8;5,5;5,5;4,4;60,8;23,4;13,9;59,5;0;3,2;6,96;6,51;7;7,63
69194;0;206;21;0;0;6,3;94,6;5,4;4,8;22,7;36,2;26,2;10;0;7,8;20;43,9;16,1;5,2;7;6;5,5;14,4;8,5;11,9;53,7;18,6;0;69,1;7,3;5;7,1;6,62;7,05;7,43
69199;0;3314;51;1,5;1,2;4,7;98,5;1,5;6,6;16,4;39,1;29,8;8,1;0,9;6,6;26,5;47,3;16,2;2,2;0,3;8,7;56,7;11,7;12,9;5,4;4,6;2,7;63,1;25,6;4,6;4,1;6,53;5,68;6,45;7,16
69202;0;1257;38;1,7;0;7,9;97,5;2,5;1,6;17,4;43,6;29,5;7,9;1,2;1,8;20,3;52,1;21,7;2,9;0;9,9;35,6;19,1;4,5;13,6;17,2;8,7;41;37,2;11,7;1,4;6,66;5,57;6,45;7,47
69204;0;1522;0;1;0;8;87,6;12,4;5,4;17,1;30,5;37,7;9,3;2,3;3,6;15,5;43,2;29,2;5,5;0,8;1,4;35,2;33,4;10;10,8;9,1;5,9;44,5;36,3;8,2;5,1;6,77;5,9;6,6;7,42
69243;0;1617;0;2;2,3;7,7;94,3;5,7;4,2;15,4;37,6;32;10,8;1,4;3,5;27,3;42,5;21,8;2,8;0,7;7,8;38,2;14,3;16,2;7,3;16,3;3,4;55,8;34,7;3,8;2,3;5,5;4,62;5,31;6,4
69244;0;1301;40;2,1;1;7,2;100;0;3,8;22,8;36,8;27,5;9,2;0,9;4,2;28,6;43,4;19,4;3,5;0;1,8;22,4;14;8,2;30,4;23,2;9,8;19,1;38,9;26,9;5,3;7,38;6,42;7,19;8
69256;0;9700;0;1,9;1,1;7,3;98,5;1,5;8,9;18,1;36;29,3;7,7;3,6;5,8;20,7;46,6;21;2,1;0,1;1,9;61,7;8,2;3,2;14,7;10,3;3,1;64,3;22,1;8,6;1,8;5,94;4,84;5,58;6,81
69259;0;12971;161;1,2;0,5;6,5;99,1;0,9;4;18,1;36,3;30,6;11;1,7;3,1;25,9;45,1;22,1;2;0,1;0,7;68,1;9,2;2,3;7,5;12,2;3,1;69,7;13,6;9,6;3,9;6,06;4,97;5,76;6,86
69264;0;5517;0;2,6;1,4;6,4;96;4;2,1;22,2;37,9;30,5;7,3;0,6;4,4;28,9;41,2;22,2;2,4;0,3;13,1;39,1;17,8;7,1;13;9,9;5,5;55,5;32,7;6,3;0;6,19;5,14;6,12;7,02
69266;0;21043;421;1,7;0,6;5,9;99;1;17,2;23,4;31,3;21,9;6,2;12,9;7,4;27,5;33,9;15,7;2,3;0,4;12,7;21,4;17,1;19,8;12,1;17;5,5;32,4;36;18,8;7,3;7,23;6,22;7,06;7,74
69271;0;738;11;1,5;0;6,4;86,1;13,9;3,4;20,8;43;27;5,7;0;1,5;27,3;46,1;22,2;2,9;0;0;21,6;24,8;8,2;12,3;33,1;13,6;34;46,9;5,6;0;6,62;5,67;6,34;7,33
69273;0;662;0;2;0;5,1;83,3;16,7;1,9;19,2;37,1;32,2;9,6;0;1,8;21;36,9;38,3;2;0;0;2,1;3,8;41,5;29,6;23;9;0;68,4;16,6;6;7,84;7,05;7,62;8,27
