code_residence,commune_residence,dep_residence,code_travail,commune_travail,dep_travail,flux,annee
06152,Valbonne,06,34172,Montpellier,34,8.07834989793185,2019
06161,Villeneuve-Loubet,06,34172,Montpellier,34,3.72842168655459,2019
07008,Alissas,07,42302,Sorbiers,42,5.0380096751901,2019
07010,Annonay,07,38151,Échirolles,38,0.910724694870665,2019
07010,Annonay,07,38185,Grenoble,38,1.04430924966637,2019
07010,Annonay,07,42005,Andrézieux-Bouthéon,42,2.94983727296611,2019
07010,Annonay,07,42097,La Fouillouse,42,2.09184115040763,2019
07010,Annonay,07,42210,Sainte-Croix-en-Jarez,42,5.37779389807594,2019
07010,Annonay,07,42218,Saint-Étienne,42,29.7850389498512,2019
07019,Aubenas,07,38185,Grenoble,38,4.48142701102877,2019
07020,Aubignas,07,34172,Montpellier,34,5.00623436188251,2019
07041,Boulieu-lès-Annonay,07,42110,L'Horme,42,5.2807664453786,2019
07041,Boulieu-lès-Annonay,07,42218,Saint-Étienne,42,26.3017461458083,2019
07042,Bourg-Saint-Andéol,07,34172,Montpellier,34,4.98843169519965,2019
07055,Charmes-sur-Rhône,07,38185,Grenoble,38,5.0,2019
07056,Charnas,07,42218,Saint-Étienne,42,5.04977876106195,2019
07058,Chassiers,07,38185,Grenoble,38,4.86751341311797,2019
07066,Chomérac,07,38185,Grenoble,38,9.89797265478545,2019
07067,Colombier-le-Cardinal,07,42218,Saint-Étienne,42,5.0,2019
07070,Cornas,07,38169,Fontaine,38,5.0,2019
07070,Cornas,07,38421,Saint-Martin-d'Hères,38,5.0,2019
07072,Coux,07,38185,Grenoble,38,5.0,2019
07078,Davézieux,07,42218,Saint-Étienne,42,4.42930218906155,2019
07083,Dunière-sur-Eyrieux,07,38185,Grenoble,38,4.97706422018349,2019
07086,Étables,07,38185,Grenoble,38,5.19297285026045,2019
07089,Félines,07,42275,Saint-Priest-en-Jarez,42,5.18509749317864,2019
07102,Guilherand-Granges,07,35051,Cesson-Sévigné,35,0.903542359694018,2019
07102,Guilherand-Granges,07,38185,Grenoble,38,8.60945153606236,2019
07102,Guilherand-Granges,07,38229,Meylan,38,7.79216350744417,2019
07102,Guilherand-Granges,07,38421,Saint-Martin-d'Hères,38,1.93005866476028,2019
07102,Guilherand-Granges,07,42189,Roche-la-Molière,42,0.903542359694018,2019
07102,Guilherand-Granges,07,42218,Saint-Étienne,42,1.11409826263905,2019
07122,Lachapelle-sous-Aubenas,07,34172,Montpellier,34,10.1883299276968,2019
07126,Lagorce,07,42218,Saint-Étienne,42,5.11756563795744,2019
07127,Lalevade-d'Ardèche,07,34172,Montpellier,34,5.0,2019
07132,Largentière,07,35238,Rennes,35,5.10044751000203,2019
07140,Lemps,07,38474,Sassenage,38,5.29146616140112,2019
07149,Marcols-les-Eaux,07,42218,Saint-Étienne,42,4.62995913471133,2019
07151,Mars,07,42044,Le Chambon-Feugerolles,42,5.05905511811024,2019
07167,Les Ollières-sur-Eyrieux,07,38474,Sassenage,38,5.1398616101659,2019
07172,Peaugres,07,38185,Grenoble,38,5.20687314068978,2019
07172,Peaugres,07,38229,Meylan,38,5.04958303857712,2019
07172,Peaugres,07,42218,Saint-Étienne,42,5.16709715087076,2019
07185,Préaux,07,38185,Grenoble,38,4.95768688293371,2019
07185,Préaux,07,38474,Sassenage,38,4.95768688293371,2019
07186,Privas,07,38185,Grenoble,38,4.93364152030107,2019
07197,Roiffieux,07,42218,Saint-Étienne,42,9.76785981329528,2019
07197,Roiffieux,07,42305,La Talaudière,42,4.69175384282829,2019
07204,Saint-Agrève,07,42218,Saint-Étienne,42,4.71271925387807,2019
07205,Saint-Alban-d'Ay,07,38185,Grenoble,38,4.97160583408147,2019
07205,Saint-Alban-d'Ay,07,42005,Andrézieux-Bouthéon,42,5.34394604038061,2019
07210,Saint-Andéol-de-Vals,07,42218,Saint-Étienne,42,4.91616545799179,2019
07225,Saint-Clair,07,38185,Grenoble,38,5.31258078628919,2019
07225,Saint-Clair,07,42218,Saint-Étienne,42,15.4578524236858,2019
07227,Saint-Cyr,07,42218,Saint-Étienne,42,5.0,2019
07228,Saint-Désirat,07,38185,Grenoble,38,5.0,2019
07228,Saint-Désirat,07,38382,Saint-Égrève,38,5.0,2019
07231,Saint-Étienne-de-Fontbellon,07,42218,Saint-Étienne,42,5.21230899739418,2019
07240,Saint-Georges-les-Bains,07,38185,Grenoble,38,5.40434193342005,2019
07247,Saint-Jean-le-Centenier,07,34198,Pérols,34,5.0522444813757,2019
