Code_commune_arrivee,Commune_arrivee,Code_commune_depart,Commune_depart,Flux_migrants_1an_ou_plus
35051,Cesson-Sévigné,35125,La Guerche-de-Bretagne,9.96
35051,Cesson-Sévigné,35131,L'Hermitage,0.96
35051,Cesson-Sévigné,35133,Iffendic,1.66
35051,Cesson-Sévigné,35136,Janzé,2.21
35051,Cesson-Sévigné,35150,Lécousse,4.07
35051,Cesson-Sévigné,35152,Liffré,4.07
35051,Cesson-Sévigné,35168,Val d'Anast,2.21
35051,Cesson-Sévigné,35173,Melesse,3.34
35051,Cesson-Sévigné,35176,Guipry-Messac,3.66
35051,Cesson-Sévigné,35177,La Mézière,4.11
35051,Cesson-Sévigné,35184,Montauban-de-Bretagne,2.95
35051,Cesson-Sévigné,35188,Montfort-sur-Meu,1.11
35051,Cesson-Sévigné,35189,Montgermont,5.01
35051,Cesson-Sévigné,35196,Mordelles,2.68
35051,Cesson-Sévigné,35206,Noyal-Châtillon-sur-Seiche,3.88
35051,Cesson-Sévigné,35207,Noyal-sur-Vilaine,18.36
35051,Cesson-Sévigné,35210,Pacé,12.45
35051,Cesson-Sévigné,35219,Pipriac,3.36
35051,Cesson-Sévigné,35221,Pléchâtel,4.2
35051,Cesson-Sévigné,35238,Rennes,487.96
35051,Cesson-Sévigné,35240,Le Rheu,4.2
35051,Cesson-Sévigné,35245,Romillé,0.94
35051,Cesson-Sévigné,35251,Saint-Aubin-d'Aubigné,19.39
35051,Cesson-Sévigné,35253,Saint-Aubin-du-Cormier,3.97
35051,Cesson-Sévigné,35257,Maen Roch,3.02
35051,Cesson-Sévigné,35260,Saint-Christophe-des-Bois,4.42
35051,Cesson-Sévigné,35263,Saint-Coulomb,1.36
35051,Cesson-Sévigné,35265,Saint-Domineuc,1.02
35051,Cesson-Sévigné,35275,Saint-Gilles,3.88
35051,Cesson-Sévigné,35278,Saint-Grégoire,14.36
35051,Cesson-Sévigné,35281,Saint-Jacques-de-la-Lande,32.69
35051,Cesson-Sévigné,35288,Saint-Malo,3.25
35051,Cesson-Sévigné,35308,Mesnil-Roc'h,3.66
35051,Cesson-Sévigné,35312,Saint-Senoux,1.36
35051,Cesson-Sévigné,35326,Sens-de-Bretagne,3.06
35051,Cesson-Sévigné,35327,Servon-sur-Vilaine,3.26
35051,Cesson-Sévigné,35328,Sixt-sur-Aff,3.31
35051,Cesson-Sévigné,35331,Talensac,7.32
35051,Cesson-Sévigné,35334,Thorigné-Fouillard,11.36
35051,Cesson-Sévigné,35337,Tinténiac,4.08
35051,Cesson-Sévigné,35352,Vern-sur-Seiche,1.02
35051,Cesson-Sévigné,35353,Vezin-le-Coquet,6.89
35051,Cesson-Sévigné,35358,La Ville-ès-Nonais,1.66
35051,Cesson-Sévigné,35360,Vitré,12.21
35051,Cesson-Sévigné,37261,Tours,7.47
