metropole,code_commune,nom_commune,annee,indicateur_occupation,valeur
Rouen,76550,Sahurs,2016,STD_OCC,20.0
Rouen,76750,Yainville,2016,SEV_OVER_OCC,0.0
Grenoble,38187,Le Gua,2016,MOD_UNDER_OCC,171.62451
Rouen,76436,Le Mesnil-sous-Jumièges,2016,SEV_UNDER_OCC,108.08109
Grenoble,38258,Mont-Saint-Martin,2016,MOD_OVER_OCC,0.0
Saint-Etienne,42110,L'Horme,2016,STD_OCC,424.66695
Rouen,76402,Malaunay,2016,VSEV_UNDER_OCC,652.96628
Saint-Etienne,42266,Saint-Nizier-de-Fornas,2016,MOD_UNDER_OCC,65.22276
Grenoble,38258,Mont-Saint-Martin,2016,MOD_UNDER_OCC,5.0
Saint-Etienne,42266,Saint-Nizier-de-Fornas,2016,SEV_UNDER_OCC,85.48626
Rouen,76561,Saint-Aubin-lès-Elbeuf,2016,VSEV_UNDER_OCC,730.0
Rennes,35315,Saint-Sulpice-la-Forêt,2016,MOD_UNDER_OCC,80.0
Rennes,35315,Saint-Sulpice-la-Forêt,2016,MOD_OVER_OCC,5.0
Grenoble,38258,Mont-Saint-Martin,2016,VSEV_UNDER_OCC,15.0
Montpellier,34327,Vendargues,2016,MOD_OVER_OCC,171.87697
Saint-Etienne,42223,Saint-Genest-Lerpt,2016,MOD_OVER_OCC,34.94348
Montpellier,34022,Baillargues,2016,STD_OCC,626.94464
Grenoble,38258,Mont-Saint-Martin,2016,SEV_UNDER_OCC,15.0
Rouen,76550,Sahurs,2016,MOD_UNDER_OCC,85.0
Grenoble,38187,Le Gua,2016,SEV_UNDER_OCC,166.57673
Montpellier,34327,Vendargues,2016,MOD_UNDER_OCC,613.51926
Saint-Etienne,42322,La Valla-en-Gier,2016,SEV_UNDER_OCC,129.20556
Grenoble,38258,Mont-Saint-Martin,2016,SEV_OVER_OCC,0.0
Saint-Etienne,42322,La Valla-en-Gier,2016,STD_OCC,33.49774
Saint-Etienne,42110,L'Horme,2016,MOD_OVER_OCC,98.6555
Saint-Etienne,42223,Saint-Genest-Lerpt,2016,STD_OCC,574.07145
Rouen,76550,Sahurs,2016,VSEV_UNDER_OCC,205.0
Rouen,76560,Saint-Aubin-Épinay,2016,SEV_UNDER_OCC,121.01746
Saint-Etienne,42234,Saint-Héand,2016,MOD_UNDER_OCC,341.85257
Rouen,76560,Saint-Aubin-Épinay,2016,SEV_OVER_OCC,0.0
Rouen,76560,Saint-Aubin-Épinay,2016,VSEV_UNDER_OCC,135.80135
Rouen,76402,Malaunay,2016,MOD_OVER_OCC,87.8902
Rouen,76540,Rouen,2016,SEV_UNDER_OCC,7529.05451
Rouen,76561,Saint-Aubin-lès-Elbeuf,2016,SEV_OVER_OCC,30.0
Rouen,76560,Saint-Aubin-Épinay,2016,STD_OCC,35.30755
Rouen,76402,Malaunay,2016,MOD_UNDER_OCC,740.24987
Montpellier,34022,Baillargues,2016,MOD_OVER_OCC,119.8222
Saint-Etienne,42223,Saint-Genest-Lerpt,2016,VSEV_UNDER_OCC,683.89382
Grenoble,38187,Le Gua,2016,VSEV_UNDER_OCC,307.91456
Saint-Etienne,42322,La Valla-en-Gier,2016,MOD_UNDER_OCC,119.63477
Montpellier,34327,Vendargues,2016,SEV_UNDER_OCC,623.33557
Saint-Etienne,42266,Saint-Nizier-de-Fornas,2016,SEV_OVER_OCC,4.90685
Rouen,76560,Saint-Aubin-Épinay,2016,MOD_UNDER_OCC,89.87279
Rouen,76513,Quevillon,2022,SEV_OVER_OCC,0.0
Rouen,76513,Quevillon,2022,VSEV_UNDER_OCC,103.51664
Rouen,76436,Le Mesnil-sous-Jumièges,2016,VSEV_UNDER_OCC,93.68512
Grenoble,38258,Mont-Saint-Martin,2016,STD_OCC,0.0
Montpellier,34169,Montferrier-sur-Lez,2016,MOD_OVER_OCC,75.86002
Rouen,76402,Malaunay,2016,STD_OCC,354.90678
Montpellier,34169,Montferrier-sur-Lez,2016,SEV_OVER_OCC,0.0
Rouen,76550,Sahurs,2016,MOD_OVER_OCC,5.0
Saint-Etienne,42234,Saint-Héand,2016,SEV_OVER_OCC,0.0
Saint-Etienne,42223,Saint-Genest-Lerpt,2016,SEV_OVER_OCC,4.99193
Rouen,76436,Le Mesnil-sous-Jumièges,2016,MOD_UNDER_OCC,40.71003
Rouen,76750,Yainville,2016,MOD_UNDER_OCC,163.11082
Saint-Etienne,42110,L'Horme,2016,SEV_OVER_OCC,4.85172
Rouen,76108,Bois-Guillaume,2011,VSEV_UNDER_OCC,3140.08594
Rouen,76631,Saint-Paër,2011,SEV_UNDER_OCC,197.61404
Rennes,35059,La Chapelle-des-Fougeretz,2011,SEV_UNDER_OCC,330.56073
Grenoble,38562,Vizille,2011,MOD_UNDER_OCC,1071.13066
Rennes,35351,Le Verger,2022,MOD_UNDER_OCC,113.70462
Grenoble,38126,Corenc,2022,MOD_OVER_OCC,112.31702
Saint-Etienne,42099,Fraisses,2016,SEV_UNDER_OCC,416.33763
Grenoble,38562,Vizille,2022,MOD_OVER_OCC,347.62244
Saint-Etienne,42311,La Tour-en-Jarez,2022,SEV_OVER_OCC,4.92693
Grenoble,38126,Corenc,2022,MOD_UNDER_OCC,241.74339
Saint-Etienne,42311,La Tour-en-Jarez,2022,SEV_UNDER_OCC,174.54006
Rennes,35120,Gévezé,2022,STD_OCC,376.89686
Saint-Etienne,42100,La Gimond,2022,VSEV_UNDER_OCC,25.49578
Rouen,76108,Bois-Guillaume,2022,SEV_OVER_OCC,10.0555
Rouen,76558,Saint-Aubin-Celloville,2022,SEV_OVER_OCC,0.0
Saint-Etienne,42099,Fraisses,2016,MOD_UNDER_OCC,586.88558
Rennes,35351,Le Verger,2022,STD_OCC,48.09152
Saint-Etienne,42100,La Gimond,2022,MOD_UNDER_OCC,40.65508
Grenoble,38126,Corenc,2022,STD_OCC,221.01401
Rouen,76088,Berville-sur-Seine,2016,STD_OCC,15.17068
Grenoble,38185,Grenoble,2016,SEV_UNDER_OCC,11023.05629
Rouen,76088,Berville-sur-Seine,2016,SEV_OVER_OCC,4.99487
Montpellier,34116,Grabels,2022,SEV_UNDER_OCC,539.93933
Grenoble,38229,Meylan,2022,MOD_UNDER_OCC,2400.08946
Rennes,35076,Chavagne,2022,MOD_UNDER_OCC,379.46614
Saint-Etienne,42085,Doizieux,2022,SEV_UNDER_OCC,70.90588
Saint-Etienne,42207,Saint-Chamond,2022,MOD_OVER_OCC,643.43708
Grenoble,38478,Séchilienne,2022,STD_OCC,44.73267
Rouen,76558,Saint-Aubin-Celloville,2022,VSEV_UNDER_OCC,212.53404
Rennes,35032,Bourgbarré,2022,MOD_UNDER_OCC,442.54573
Grenoble,38059,Brié-et-Angonnes,2022,VSEV_UNDER_OCC,528.2834
Montpellier,34164,Montaud,2022,SEV_UNDER_OCC,116.6042
Grenoble,38540,Veurey-Voroize,2022,MOD_UNDER_OCC,149.41822
