metropole,code_commune,nom_commune,annee,lieu_travail,sexe,mode_transport,valeur
Rouen,76231,Elbeuf,2020,Commune de résidence,Hommes,Pas de transport,51.7987731816
Rouen,76237,Épinay-sur-Duclair,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76273,Fontaine-sous-Préaux,2020,Commune de résidence,Hommes,Pas de transport,5.0
Rouen,76282,Freneuse,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76313,Gouy,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76319,Grand-Couronne,2020,Commune de résidence,Hommes,Pas de transport,29.8042544339
Rouen,76322,Le Grand-Quevilly,2020,Commune de résidence,Hommes,Pas de transport,59.4897044714
Rouen,76350,Hautot-sur-Seine,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76354,Hénouville,2020,Commune de résidence,Hommes,Pas de transport,5.2276599547
Rouen,76366,Le Houlme,2020,Commune de résidence,Hommes,Pas de transport,10.2775130075
Rouen,76367,Houppeville,2020,Commune de résidence,Hommes,Pas de transport,10.4490549487
Rouen,76377,Isneauville,2020,Commune de résidence,Hommes,Pas de transport,10.2439270801
Rouen,76378,Jumièges,2020,Commune de résidence,Hommes,Pas de transport,29.9251051357
Rouen,76391,La Londe,2020,Commune de résidence,Hommes,Pas de transport,5.0090788798
Rouen,76402,Malaunay,2020,Commune de résidence,Hommes,Pas de transport,5.0709855708
Rouen,76410,Maromme,2020,Commune de résidence,Hommes,Pas de transport,11.7114150029
Rouen,76429,Le Mesnil-Esnard,2020,Commune de résidence,Hommes,Pas de transport,29.9218965912
Rouen,76436,Le Mesnil-sous-Jumièges,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76448,Montmain,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76451,Mont-Saint-Aignan,2020,Commune de résidence,Hommes,Pas de transport,117.3618693247
Rouen,76457,Moulineaux,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76464,La Neuville-Chant-d'Oisel,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76474,Notre-Dame-de-Bondeville,2020,Commune de résidence,Hommes,Pas de transport,30.0
